value
68
56
45
84
59
65
27
90
64
73
50
49
57
62
48
71
68
75
55
31
31
55
59
62
37
21
67
61
44
63
30
56
48
60
50
15
25
68
32
67
80
52
21
64
68
75
13
26
69
25
27
46
55
84
61
76
48
44
45
34
51
60
69
28
62
19
82
51
78
36
50
60
58
46
43
55
31
61
60
66
18
40
67
31
48
72
47
29
52
9
79
47
50
36
32
66
33
92
24
76
27
68
84
31
44
35
39
50
41
48
68
54
59
7
72
56
41
96
49
98
39
69
59
29
60
62
87
19
72
43
62
62
89
68
67
69
40
58
61
63
60
46
68
