value
17
16
49
49
47
32
24
23
11
42
80
59
8
43
43
46
36
29
58
52
38
48
32
25
40
25
46
10
78
38
34
29
53
7
39
26
45
65
85
72
36
50
17
68
41
49
54
30
48
60
25
79
0
38
46
79
37
44
38
56
60
51
55
32
35
28
18
26
30
16
63
72
13
19
0
32
71
92
43
67
61
36
22
53
71
24
60
37
35
31
31
29
65
24
60
0
48
62
28
49
56
100
57
52
0
0
28
30
47
53
38
77
71
65
28
70
25
51
37
58
55
53
31
60
36
78
5
13
32
0
42
14
21
27
43
70
27
43
47
31
30
29
80
